inventory_id,merchant_id,ingredient_name,stock_quantity,unit,cost_per_unit,reorder_level,last_updated
INV0001,M0001,Tomatoes,14,kg,56,2,14-10-2024 07:14
INV0002,M0001,Rice,73,kg,65,18,17-08-2024 21:27
INV0003,M0001,Salt,31,kg,23,9,22-03-2024 15:23
INV0004,M0001,Paneer,37,kg,394,5,21-06-2024 03:43
INV0005,M0001,Pizza Base,43,pcs,16,17,09-03-2025 12:31
INV0006,M0001,Onions,62,kg,48,16,01-10-2024 04:32
INV0007,M0001,Tea Leaves,97,kg,366,17,28-02-2025 22:53
INV0008,M0001,Milk,64,ltr,62,17,26-12-2024 02:31
INV0009,M0001,Eggs,31,pcs,7,12,10-02-2024 08:28
INV0010,M0001,Burger Buns,45,pcs,6,17,21-11-2024 13:16
INV0011,M0001,Flour,20,kg,50,4,25-12-2024 23:35
INV0012,M0001,Mixed Spices,12,grams,2,3,05-05-2024 05:56
INV0013,M0001,Cheese,49,kg,485,8,18-12-2024 20:16
INV0014,M0001,Coffee Beans,26,kg,707,4,29-01-2024 08:20
INV0015,M0001,Potatoes,83,kg,25,22,03-02-2024 07:40
INV0016,M0002,Milk,90,ltr,54,16,11-03-2024 18:33
INV0017,M0002,Cheese,52,kg,472,13,19-03-2024 22:50
INV0018,M0002,Garlic,20,kg,122,5,16-07-2024 13:53
INV0019,M0002,Potatoes,62,kg,21,12,10-10-2024 00:25
INV0020,M0002,Butter,70,kg,577,9,19-01-2025 09:42
INV0021,M0002,Chicken,20,kg,283,5,08-01-2024 17:34
INV0022,M0002,Rice,21,kg,42,6,28-07-2024 17:23
INV0023,M0002,Onions,35,kg,19,11,03-05-2024 14:02
INV0024,M0002,Burger Buns,21,pcs,9,18,10-03-2025 04:35
INV0025,M0002,Eggs,86,pcs,5,13,24-09-2024 18:03
INV0026,M0003,Eggs,60,pcs,7,18,11-10-2024 12:44
INV0027,M0003,Chicken,91,kg,219,23,09-12-2024 19:40
INV0028,M0003,Tomatoes,19,kg,26,4,20-01-2025 01:21
INV0029,M0003,Tea Leaves,32,kg,463,7,18-04-2024 10:48
INV0030,M0003,Mixed Spices,45,grams,2,11,24-04-2024 16:32
INV0031,M0003,Potatoes,44,kg,17,5,01-05-2024 22:58
INV0032,M0003,Butter,34,kg,528,5,08-01-2025 09:45
INV0033,M0003,Onions,53,kg,38,8,18-06-2024 18:14
INV0034,M0003,Cooking Oil,61,ltr,156,16,14-02-2025 02:27
INV0035,M0003,Garlic,33,kg,86,7,01-03-2025 10:20
INV0036,M0003,Pizza Base,132,pcs,23,15,03-04-2025 16:16
INV0037,M0004,Milk,94,ltr,60,16,20-11-2024 20:30
INV0038,M0004,Chicken,32,kg,278,7,25-06-2024 04:34
INV0039,M0004,Flour,22,kg,43,5,14-11-2024 03:00
INV0040,M0004,Pizza Base,136,pcs,17,14,12-03-2024 17:59
INV0041,M0004,Potatoes,18,kg,24,5,14-03-2025 04:22
INV0042,M0004,Onions,42,kg,50,7,27-02-2025 21:52
INV0043,M0004,Green Chillies,59,kg,64,11,05-04-2025 06:17
INV0044,M0004,Rice,91,kg,63,22,18-04-2025 01:05
INV0045,M0004,Coffee Beans,33,kg,643,9,20-04-2024 03:59
INV0046,M0004,Salt,50,kg,19,7,26-01-2025 15:06
INV0047,M0004,Sugar,27,kg,46,5,17-04-2024 06:33
INV0048,M0004,Mixed Spices,86,grams,3,17,16-12-2024 11:23
INV0049,M0004,Garlic,9,kg,82,2,18-01-2024 20:14
INV0050,M0005,Tomatoes,43,kg,42,6,03-04-2025 04:17
INV0051,M0005,Rice,52,kg,57,14,14-10-2024 18:29
INV0052,M0005,Garlic,51,kg,136,13,04-02-2024 18:41
INV0053,M0005,Pizza Base,47,pcs,16,11,24-03-2025 07:44
INV0054,M0005,Eggs,194,pcs,8,19,02-04-2025 23:36
INV0055,M0005,Salt,57,kg,17,13,12-03-2025 04:38
INV0056,M0005,Cooking Oil,22,ltr,113,6,24-09-2024 10:29
INV0057,M0005,Milk,33,ltr,68,6,22-04-2025 03:52
INV0058,M0005,Onions,92,kg,22,18,27-01-2025 16:58
INV0059,M0005,Burger Buns,63,pcs,5,14,21-01-2024 17:01
INV0060,M0006,Flour,30,kg,44,7,20-11-2024 01:21
INV0061,M0006,Onions,79,kg,29,16,03-06-2024 12:28
INV0062,M0006,Cooking Oil,65,ltr,199,10,23-03-2024 20:30
INV0063,M0006,Burger Buns,39,pcs,7,20,28-07-2024 01:27
INV0064,M0006,Mixed Spices,45,grams,1,8,04-11-2024 12:08
INV0065,M0006,Coffee Beans,58,kg,452,15,22-01-2024 13:58
INV0066,M0006,Milk,97,ltr,69,13,18-04-2024 19:15
INV0067,M0006,Green Chillies,98,kg,50,14,13-05-2025 14:03
INV0068,M0006,Cheese,63,kg,495,17,09-11-2024 21:05
INV0069,M0006,Potatoes,8,kg,17,1,09-05-2025 17:34
INV0070,M0006,Tea Leaves,32,kg,388,7,31-10-2024 03:02
INV0071,M0007,Ginger,64,kg,109,16,14-02-2024 06:21
INV0072,M0007,Flour,55,kg,52,11,03-04-2025 23:23
INV0073,M0007,Potatoes,34,kg,19,10,06-04-2025 17:42
INV0074,M0007,Rice,21,kg,83,3,09-02-2025 04:54
INV0075,M0007,Butter,65,kg,584,9,04-05-2025 12:47
INV0076,M0007,Pizza Base,181,pcs,16,7,10-05-2025 11:39
INV0077,M0007,Chicken,84,kg,185,13,17-09-2024 19:40
INV0078,M0007,Cheese,12,kg,313,2,13-01-2024 06:17
INV0079,M0007,Salt,84,kg,19,20,31-03-2025 07:22
INV0080,M0007,Onions,30,kg,57,8,02-09-2024 18:28
INV0081,M0007,Eggs,169,pcs,7,13,20-11-2024 20:30
INV0082,M0007,Mixed Spices,64,grams,2,17,16-12-2024 02:22
INV0083,M0008,Green Chillies,92,kg,77,11,19-12-2024 23:46
INV0084,M0008,Burger Buns,54,pcs,7,13,25-12-2024 21:09
INV0085,M0008,Cheese,66,kg,350,12,03-06-2024 16:51
INV0086,M0008,Pizza Base,93,pcs,17,16,31-03-2024 09:23
INV0087,M0008,Milk,39,ltr,61,6,21-01-2025 00:08
INV0088,M0008,Salt,30,kg,24,9,01-05-2025 02:44
INV0089,M0008,Eggs,194,pcs,7,6,18-04-2025 19:22
INV0090,M0008,Tomatoes,52,kg,27,11,12-02-2025 18:13
INV0091,M0008,Coffee Beans,43,kg,495,7,16-01-2024 19:40
INV0092,M0008,Rice,58,kg,52,9,03-04-2024 01:23
INV0093,M0008,Sugar,9,kg,42,1,18-10-2024 07:11
INV0094,M0009,Garlic,34,kg,90,6,25-06-2024 10:29
INV0095,M0009,Cheese,27,kg,385,5,25-01-2025 04:54
INV0096,M0009,Potatoes,87,kg,36,17,09-02-2025 23:25
INV0097,M0009,Cooking Oil,44,ltr,199,12,01-08-2024 23:08
INV0098,M0009,Eggs,60,pcs,7,6,05-08-2024 23:15
INV0099,M0009,Mixed Spices,11,grams,3,1,20-06-2024 00:09
INV0100,M0009,Pizza Base,132,pcs,17,8,31-03-2025 07:54
INV0101,M0009,Rice,39,kg,90,5,03-06-2024 18:41
INV0102,M0009,Chicken,73,kg,229,9,20-04-2025 22:36
INV0103,M0009,Ginger,17,kg,63,3,23-04-2024 04:30
INV0104,M0009,Flour,78,kg,38,18,27-02-2024 10:39
INV0105,M0009,Butter,33,kg,463,9,23-11-2024 18:05
INV0106,M0009,Burger Buns,159,pcs,10,16,19-12-2024 12:47
INV0107,M0009,Tea Leaves,32,kg,362,3,12-11-2024 12:45
INV0108,M0010,Green Chillies,98,kg,43,24,31-10-2024 08:35
INV0109,M0010,Pizza Base,181,pcs,27,12,29-01-2025 02:49
INV0110,M0010,Flour,30,kg,40,7,25-12-2024 21:01
INV0111,M0010,Onions,79,kg,37,19,18-04-2025 19:42
INV0112,M0010,Cooking Oil,65,ltr,106,7,12-02-2025 18:53
INV0113,M0010,Sugar,9,kg,52,2,13-02-2025 01:23
INV0114,M0010,Tea Leaves,32,kg,226,10,09-11-2024 20:30
INV0115,M0010,Eggs,54,pcs,6,16,31-03-2025 03:00
INV0116,M0010,Chicken,21,kg,278,4,21-01-2025 00:08
INV0117,M0010,Coffee Beans,58,kg,643,17,23-03-2024 20:36
INV0118,M0010,Milk,97,ltr,61,14,18-04-2024 19:42
INV0119,M0010,Mixed Spices,45,grams,3,9,28-07-2024 01:25
INV0120,M0010,Tomatoes,52,kg,27,11,12-02-2025 18:13
INV0121,M0011,Rice,58,kg,52,9,03-04-2024 01:23
INV0122,M0011,Salt,30,kg,24,9,01-05-2025 02:44
INV0123,M0011,Green Chillies,92,kg,77,11,19-12-2024 23:46
INV0124,M0011,Butter,34,kg,528,5,08-01-2025 09:45
INV0125,M0011,Garlic,33,kg,86,7,01-03-2025 10:20
INV0126,M0011,Cheese,66,kg,350,12,03-06-2024 16:51
INV0127,M0011,Pizza Base,93,pcs,17,16,31-03-2024 09:23
INV0128,M0011,Eggs,194,pcs,7,6,18-04-2025 19:22
INV0129,M0011,Coffee Beans,43,kg,495,7,16-01-2024 19:40
INV0130,M0011,Tomatoes,52,kg,27,11,12-02-2025 18:13
INV0131,M0011,Sugar,9,kg,42,1,18-10-2024 07:11
INV0132,M0011,Milk,39,ltr,61,6,21-01-2025 00:08
INV0133,M0011,Burger Buns,54,pcs,7,13,25-12-2024 21:09
INV0134,M0012,Garlic,34,kg,90,6,25-06-2024 10:29
INV0135,M0012,Cheese,27,kg,385,5,25-01-2025 04:54
INV0136,M0012,Potatoes,87,kg,36,17,09-02-2025 23:25
INV0137,M0012,Cooking Oil,44,ltr,199,12,01-08-2024 23:08
INV0138,M0012,Eggs,60,pcs,7,6,05-08-2024 23:15
INV0139,M0012,Mixed Spices,11,grams,3,1,20-06-2024 00:09
INV0140,M0012,Pizza Base,132,pcs,17,8,31-03-2025 07:54
INV0141,M0012,Rice,39,kg,90,5,03-06-2024 18:41
INV0142,M0012,Chicken,73,kg,229,9,20-04-2025 22:36
INV0143,M0012,Ginger,17,kg,63,3,23-04-2024 04:30
INV0144,M0012,Flour,78,kg,38,18,27-02-2024 10:39
INV0145,M0012,Butter,33,kg,463,9,23-11-2024 18:05
INV0146,M0013,Burger Buns,159,pcs,10,16,19-12-2024 12:47
INV0147,M0013,Tea Leaves,32,kg,362,3,12-11-2024 12:45
INV0148,M0013,Green Chillies,98,kg,43,24,31-10-2024 08:35
INV0149,M0013,Pizza Base,181,pcs,27,12,29-01-2025 02:49
INV0150,M0013,Flour,30,kg,40,7,25-12-2024 21:01
INV0151,M0013,Onions,79,kg,37,19,18-04-2025 19:42
INV0152,M0013,Cooking Oil,65,ltr,106,7,12-02-2025 18:53
INV0153,M0013,Sugar,9,kg,52,2,13-02-2025 01:23
INV0154,M0013,Tea Leaves,32,kg,226,10,09-11-2024 20:30
INV0155,M0013,Eggs,54,pcs,6,16,31-03-2025 03:00
INV0156,M0013,Chicken,21,kg,278,4,21-01-2025 00:08
INV0157,M0014,Coffee Beans,58,kg,643,17,23-03-2024 20:36
INV0158,M0014,Milk,97,ltr,61,14,18-04-2024 19:42
INV0159,M0014,Mixed Spices,45,grams,3,9,28-07-2024 01:25
INV0160,M0014,Tomatoes,52,kg,27,11,12-02-2025 18:13
INV0161,M0014,Rice,58,kg,52,9,03-04-2024 01:23
INV0162,M0014,Salt,30,kg,24,9,01-05-2025 02:44
INV0163,M0014,Green Chillies,92,kg,77,11,19-12-2024 23:46
INV0164,M0014,Butter,34,kg,528,5,08-01-2025 09:45
INV0165,M0014,Garlic,33,kg,86,7,01-03-2025 10:20
INV0166,M0014,Cheese,66,kg,350,12,03-06-2024 16:51
INV0167,M0014,Pizza Base,93,pcs,17,16,31-03-2024 09:23
INV0168,M0015,Eggs,194,pcs,7,6,18-04-2025 19:22
INV0169,M0015,Coffee Beans,43,kg,495,7,16-01-2024 19:40
INV0170,M0015,Tomatoes,52,kg,27,11,12-02-2025 18:13
INV0171,M0015,Sugar,9,kg,42,1,18-10-2024 07:11
INV0172,M0015,Milk,39,ltr,61,6,21-01-2025 00:08
INV0173,M0015,Burger Buns,54,pcs,7,13,25-12-2024 21:09
INV0174,M0015,Garlic,34,kg,90,6,25-06-2024 10:29
INV0175,M0015,Cheese,27,kg,385,5,25-01-2025 04:54
INV0176,M0015,Potatoes,87,kg,36,17,09-02-2025 23:25
INV0177,M0015,Cooking Oil,44,ltr,199,12,01-08-2024 23:08
INV0178,M0015,Eggs,60,pcs,7,6,05-08-2024 23:15
INV0179,M0015,Mixed Spices,11,grams,3,1,20-06-2024 00:09
INV0180,M0015,Pizza Base,132,pcs,17,8,31-03-2025 07:54
INV0181,M0015,Rice,39,kg,90,5,03-06-2024 18:41
INV0182,M0016,Chicken,73,kg,229,9,20-04-2025 22:36
INV0183,M0016,Ginger,17,kg,63,3,23-04-2024 04:30
INV0184,M0016,Flour,78,kg,38,18,27-02-2024 10:39
INV0185,M0016,Butter,33,kg,463,9,23-11-2024 18:05
INV0186,M0016,Burger Buns,159,pcs,10,16,19-12-2024 12:47
INV0187,M0016,Tea Leaves,32,kg,362,3,12-11-2024 12:45
INV0188,M0016,Green Chillies,98,kg,43,24,31-10-2024 08:35
INV0189,M0016,Pizza Base,181,pcs,27,12,29-01-2025 02:49
INV0190,M0016,Flour,30,kg,40,7,25-12-2024 21:01
INV0191,M0016,Onions,79,kg,37,19,18-04-2025 19:42
INV0192,M0016,Cooking Oil,65,ltr,106,7,12-02-2025 18:53
INV0193,M0017,Sugar,9,kg,52,2,13-02-2025 01:23
INV0194,M0017,Tea Leaves,32,kg,226,10,09-11-2024 20:30
INV0195,M0017,Eggs,54,pcs,6,16,31-03-2025 03:00
INV0196,M0017,Chicken,21,kg,278,4,21-01-2025 00:08
INV0197,M0017,Coffee Beans,58,kg,643,17,23-03-2024 20:36
INV0198,M0017,Milk,97,ltr,61,14,18-04-2024 19:42
INV0199,M0017,Mixed Spices,45,grams,3,9,28-07-2024 01:25
INV0200,M0017,Tomatoes,52,kg,27,11,12-02-2025 18:13
INV0201,M0017,Rice,58,kg,52,9,03-04-2024 01:23
INV0202,M0017,Salt,30,kg,24,9,01-05-2025 02:44
INV0203,M0018,Green Chillies,92,kg,77,11,19-12-2024 23:46
INV0204,M0018,Butter,34,kg,528,5,08-01-2025 09:45
INV0205,M0018,Garlic,33,kg,86,7,01-03-2025 10:20
INV0206,M0018,Cheese,66,kg,350,12,03-06-2024 16:51
INV0207,M0018,Pizza Base,93,pcs,17,16,31-03-2024 09:23
INV0208,M0018,Eggs,194,pcs,7,6,18-04-2025 19:22
INV0209,M0018,Coffee Beans,43,kg,495,7,16-01-2024 19:40
INV0210,M0018,Tomatoes,52,kg,27,11,12-02-2025 18:13
INV0211,M0018,Sugar,9,kg,42,1,18-10-2024 07:11
INV0212,M0018,Milk,39,ltr,61,6,21-01-2025 00:08
INV0213,M0018,Burger Buns,54,pcs,7,13,25-12-2024 21:09
INV0214,M0018,Garlic,34,kg,90,6,25-06-2024 10:29
INV0215,M0018,Cheese,27,kg,385,5,25-01-2025 04:54
INV0216,M0019,Potatoes,87,kg,36,17,09-02-2025 23:25
INV0217,M0019,Cooking Oil,44,ltr,199,12,01-08-2024 23:08
INV0218,M0019,Eggs,60,pcs,7,6,05-08-2024 23:15
INV0219,M0019,Mixed Spices,11,grams,3,1,20-06-2024 00:09
INV0220,M0019,Pizza Base,132,pcs,17,8,31-03-2025 07:54
INV0221,M0019,Rice,39,kg,90,5,03-06-2024 18:41
INV0222,M0019,Chicken,73,kg,229,9,20-04-2025 22:36
INV0223,M0019,Ginger,17,kg,63,3,23-04-2024 04:30
INV0224,M0019,Flour,78,kg,38,18,27-02-2024 10:39
INV0225,M0019,Butter,33,kg,463,9,23-11-2024 18:05
INV0226,M0019,Burger Buns,159,pcs,10,16,19-12-2024 12:47
INV0227,M0020,Tea Leaves,32,kg,362,3,12-11-2024 12:45
INV0228,M0020,Green Chillies,98,kg,43,24,31-10-2024 08:35
INV0229,M0020,Pizza Base,181,pcs,27,12,29-01-2025 02:49
INV0230,M0020,Flour,30,kg,40,7,25-12-2024 21:01
INV0231,M0020,Onions,79,kg,37,19,18-04-2025 19:42
INV0232,M0020,Cooking Oil,65,ltr,106,7,12-02-2025 18:53
INV0233,M0020,Sugar,9,kg,52,2,13-02-2025 01:23
INV0234,M0020,Tea Leaves,32,kg,226,10,09-11-2024 20:30
INV0235,M0020,Eggs,54,pcs,6,16,31-03-2025 03:00
INV0236,M0020,Chicken,21,kg,278,4,21-01-2025 00:08
INV0237,M0020,Coffee Beans,58,kg,643,17,23-03-2024 20:36
INV0238,M0021,Milk,97,ltr,61,14,18-04-2024 19:42
INV0239,M0021,Mixed Spices,45,grams,3,9,28-07-2024 01:25
INV0240,M0021,Tomatoes,52,kg,27,11,12-02-2025 18:13
INV0241,M0021,Rice,58,kg,52,9,03-04-2024 01:23
INV0242,M0021,Salt,30,kg,24,9,01-05-2025 02:44
INV0243,M0021,Green Chillies,92,kg,77,11,19-12-2024 23:46
INV0244,M0021,Butter,34,kg,528,5,08-01-2025 09:45
INV0245,M0021,Garlic,33,kg,86,7,01-03-2025 10:20
INV0246,M0021,Cheese,66,kg,350,12,03-06-2024 16:51
INV0247,M0021,Pizza Base,93,pcs,17,16,31-03-2024 09:23
INV0248,M0021,Eggs,194,pcs,7,6,18-04-2025 19:22
INV0249,M0021,Coffee Beans,43,kg,495,7,16-01-2024 19:40
